"Commit";"ChangeType";"ChangedEntity";"EntityType";"InsideRefactoring";"rootEntity"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.mongodb.core.geo.Metric"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.springframework.data.mongodb.core.geo.Polygon.Polygon(P,P,P,P...)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_UPDATE";NA;"METHOD_INVOCATION";"false";"org.springframework.data.mongodb.core.query.Criteria.near(Point)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"true";"org.springframework.data.mongodb.core.geo.Sphere.equals(Object)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"true";"org.springframework.data.mongodb.core.geo.Sphere.equals(Object)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_DELETE";NA;"RETURN_STATEMENT";"true";"org.springframework.data.mongodb.core.geo.Sphere.equals(Object)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_UPDATE";NA;"VARIABLE_DECLARATION_STATEMENT";"true";"org.springframework.data.mongodb.core.geo.Sphere.equals(Object)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"RETURN_TYPE_CHANGE";NA;"SINGLE_TYPE";"true";"org.springframework.data.mongodb.core.geo.Sphere.hashCode()"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_ORDERING_CHANGE";NA;"ASSIGNMENT";"true";"org.springframework.data.mongodb.core.geo.Sphere.hashCode()"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_DELETE";NA;"ASSIGNMENT";"false";"org.springframework.data.mongodb.core.geo.Distance.Distance(double,Metric)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_INSERT";NA;"RETURN_STATEMENT";"false";"org.springframework.data.mongodb.core.geo.Circle.getCommand()"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.springframework.data.mongodb.core.geo.Polygon"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"PARENT_CLASS_INSERT";NA;"QUALIFIED_TYPE";"false";"org.springframework.data.mongodb.core.geo.Box"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.springframework.data.mongodb.core.geo.Point"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"DOC_UPDATE";NA;"JAVADOC";"false";"org.springframework.data.mongodb.core.geo.Polygon"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.springframework.data.mongodb.core.geo.GeoResult"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_DELETE";NA;"CONSTRUCTOR_INVOCATION";"false";"org.springframework.data.mongodb.core.geo.Box.Box(Point,Point)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"STATEMENT_DELETE";NA;"CONSTRUCTOR_INVOCATION";"false";"org.springframework.data.mongodb.core.geo.GeoResults.GeoResults(List<? extends GeoResult<T>>,Distance)"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.mongodb.core.query.Criteria"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.mongodb.core.geo.Point"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"REMOVED_OBJECT_STATE";NA;"FIELD";"false";"org.springframework.data.mongodb.core.geo.Box"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"REMOVED_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.mongodb.core.geo.GeoResults"
"d5ed4e0ac23f0c0cf5c051aed6d1bc55ce8fb602";"ADDITIONAL_FUNCTIONALITY";NA;"METHOD";"false";"org.springframework.data.mongodb.core.geo.Point"
